1-11	MC
14	PREP   	#include <stdio.h>
15	PREP   	#include <stdlib.h>
16	PREP   	#include <stdbool.h>
17	PREP   	#include <ctype.h>
18	PREP   	#include <string.h>
20	PREP   	#define DEFAULT_INPUT_FILENAME "scanner.c"
21	PREP   	#define DEFAULT_OUTPUT_FILENAME "output.txt"
22	PREP   	#define REWD_MAX_LEN 10
23	REWD   	const
23	REWD   	char
23	IDEN   	rewds
23	OPER   	[
23	OPER   	]
23	OPER   	[
23	IDEN   	REWD_MAX_LEN
23	OPER   	]
23	OPER   	=
23	SPEC   	{
23	SC     	
24	STR    	if
24	OPER   	,
24	STR    	do
24	OPER   	,
24	STR    	for
24	OPER   	,
24	STR    	int
24	OPER   	,
24	STR    	break
24	OPER   	,
24	STR    	default
24	OPER   	,
24	STR    	float
24	OPER   	,
25	STR    	double
25	OPER   	,
25	STR    	case
25	OPER   	,
25	STR    	else
25	OPER   	,
25	STR    	extern
25	OPER   	,
25	STR    	sizeof
25	OPER   	,
25	STR    	register
25	OPER   	,
26	STR    	while
26	OPER   	,
26	STR    	enum
26	OPER   	,
26	STR    	union
26	OPER   	,
26	STR    	goto
26	OPER   	,
26	STR    	auto
26	OPER   	,
26	STR    	char
26	OPER   	,
26	STR    	const
26	OPER   	,
27	STR    	static
27	OPER   	,
27	STR    	switch
27	OPER   	,
27	STR    	continue
27	OPER   	,
27	STR    	struct
27	OPER   	,
27	STR    	return
28	SPEC   	}
28	SPEC   	;
30	IDEN   	typedef
30	REWD   	struct
31	SPEC   	{
32	IDEN   	FILE
32	OPER   	*
32	IDEN   	fin
32	SPEC   	;
33	REWD   	int
33	IDEN   	line_number
33	SPEC   	;
34	SPEC   	}
34	IDEN   	FileReader
34	SPEC   	;
36	IDEN   	typedef
36	IDEN   	void
36	SPEC   	(
36	OPER   	*
36	IDEN   	TokenScan
36	SPEC   	)
36	SPEC   	(
36	IDEN   	FileReader
36	OPER   	*
36	IDEN   	fr
36	OPER   	,
36	IDEN   	FILE
36	OPER   	*
36	IDEN   	fout
36	SPEC   	)
36	SPEC   	;
38	IDEN   	typedef
38	REWD   	enum
39	SPEC   	{
40	IDEN   	IDEN
40	OPER   	,
41	IDEN   	REWD
41	OPER   	,
42	IDEN   	INTE
42	OPER   	,
43	IDEN   	FLOT
43	OPER   	,
44	IDEN   	CHAR
44	OPER   	,
45	IDEN   	STR
45	OPER   	,
46	IDEN   	OPER
46	OPER   	,
47	IDEN   	SPEC
47	OPER   	,
48	IDEN   	SC
48	OPER   	,
49	IDEN   	MC
49	OPER   	,
50	IDEN   	PREP
51	SPEC   	}
51	IDEN   	TokenType
51	SPEC   	;
53	SC     	
54	IDEN   	void
54	OPER   	*
54	IDEN   	ScanScan
54	SPEC   	(
54	IDEN   	FileReader
54	OPER   	*
54	IDEN   	fr
54	OPER   	,
54	IDEN   	FILE
54	OPER   	*
54	IDEN   	fout
54	OPER   	,
54	IDEN   	TokenType
54	IDEN   	Opt
54	SPEC   	)
54	SPEC   	;
55	REWD   	const
55	REWD   	char
55	OPER   	*
55	IDEN   	token_type_to_string
55	SPEC   	(
55	IDEN   	TokenType
55	IDEN   	type
55	SPEC   	)
55	SPEC   	;
56	IDEN   	void
56	IDEN   	report_token
56	SPEC   	(
56	IDEN   	FileReader
56	OPER   	*
56	IDEN   	fr
56	OPER   	,
56	IDEN   	FILE
56	OPER   	*
56	IDEN   	fout
56	OPER   	,
56	IDEN   	TokenType
56	IDEN   	type
56	OPER   	,
56	REWD   	const
56	REWD   	char
56	OPER   	*
56	IDEN   	token
56	SPEC   	)
56	SPEC   	;
57	IDEN   	void
57	IDEN   	scan_identifier
57	SPEC   	(
57	IDEN   	FileReader
57	OPER   	*
57	IDEN   	fr
57	OPER   	,
57	IDEN   	FILE
57	OPER   	*
57	IDEN   	fout
57	SPEC   	)
57	SPEC   	;
58	IDEN   	bool
58	IDEN   	scan_reserved
58	SPEC   	(
58	IDEN   	FileReader
58	OPER   	*
58	IDEN   	fr
58	OPER   	,
58	IDEN   	FILE
58	OPER   	*
58	IDEN   	fout
58	OPER   	,
58	REWD   	char
58	OPER   	*
58	IDEN   	buffer
58	SPEC   	)
58	SPEC   	;
59	IDEN   	void
59	IDEN   	scan_integer
59	SPEC   	(
59	IDEN   	FileReader
59	OPER   	*
59	IDEN   	fr
59	OPER   	,
59	IDEN   	FILE
59	OPER   	*
59	IDEN   	fout
59	SPEC   	)
59	SPEC   	;
60	IDEN   	void
60	IDEN   	scan_float
60	SPEC   	(
60	IDEN   	FileReader
60	OPER   	*
60	IDEN   	fr
60	OPER   	,
60	IDEN   	FILE
60	OPER   	*
60	IDEN   	fout
60	SPEC   	)
60	SPEC   	;
61	IDEN   	void
61	IDEN   	scan_character
61	SPEC   	(
61	IDEN   	FileReader
61	OPER   	*
61	IDEN   	fr
61	OPER   	,
61	IDEN   	FILE
61	OPER   	*
61	IDEN   	fout
61	SPEC   	)
61	SPEC   	;
62	IDEN   	void
62	IDEN   	scan_string
62	SPEC   	(
62	IDEN   	FileReader
62	OPER   	*
62	IDEN   	fr
62	OPER   	,
62	IDEN   	FILE
62	OPER   	*
62	IDEN   	fout
62	SPEC   	)
62	SPEC   	;
63	IDEN   	void
63	IDEN   	scan_operator
63	SPEC   	(
63	IDEN   	FileReader
63	OPER   	*
63	IDEN   	fr
63	OPER   	,
63	IDEN   	FILE
63	OPER   	*
63	IDEN   	fout
63	SPEC   	)
63	SPEC   	;
64	IDEN   	void
64	IDEN   	scan_special
64	SPEC   	(
64	IDEN   	FileReader
64	OPER   	*
64	IDEN   	fr
64	OPER   	,
64	IDEN   	FILE
64	OPER   	*
64	IDEN   	fout
64	SPEC   	)
64	SPEC   	;
65	IDEN   	void
65	IDEN   	scan_single_comment
65	SPEC   	(
65	IDEN   	FileReader
65	OPER   	*
65	IDEN   	fr
65	OPER   	,
65	IDEN   	FILE
65	OPER   	*
65	IDEN   	fout
65	SPEC   	)
65	SPEC   	;
66	IDEN   	void
66	IDEN   	scan_multi_comment
66	SPEC   	(
66	IDEN   	FileReader
66	OPER   	*
66	IDEN   	fr
66	OPER   	,
66	IDEN   	FILE
66	OPER   	*
66	IDEN   	fout
66	SPEC   	)
66	SPEC   	;
67	IDEN   	void
67	IDEN   	scan_preprocessor
67	SPEC   	(
67	IDEN   	FileReader
67	OPER   	*
67	IDEN   	fr
67	OPER   	,
67	IDEN   	FILE
67	OPER   	*
67	IDEN   	fout
67	SPEC   	)
67	SPEC   	;
69	REWD   	int
70	IDEN   	compare
70	SPEC   	(
70	REWD   	const
70	IDEN   	void
70	OPER   	*
70	IDEN   	arg1
70	OPER   	,
70	REWD   	const
70	IDEN   	void
70	OPER   	*
70	IDEN   	arg2
70	SPEC   	)
70	SPEC   	{
71	REWD   	return
71	SPEC   	(
71	OPER   	*
71	SPEC   	(
71	REWD   	int
71	OPER   	*
71	SPEC   	)
71	IDEN   	arg1
71	OPER   	-
71	OPER   	*
71	SPEC   	(
71	REWD   	int
71	OPER   	*
71	SPEC   	)
71	IDEN   	arg2
71	SPEC   	)
71	SPEC   	;
72	SPEC   	}
74	SC     	
75	IDEN   	void
75	IDEN   	ScanToken
75	SPEC   	(
75	IDEN   	FileReader
75	OPER   	*
75	IDEN   	fr
75	OPER   	,
75	IDEN   	FILE
75	OPER   	*
75	IDEN   	fout
75	OPER   	,
75	IDEN   	TokenScan
75	IDEN   	Opt
75	SPEC   	)
76	SPEC   	{
77	REWD   	return
77	IDEN   	Opt
77	SPEC   	(
77	IDEN   	fr
77	OPER   	,
77	IDEN   	fout
77	SPEC   	)
77	SPEC   	;
78	SPEC   	}
80	REWD   	const
80	REWD   	char
80	OPER   	*
81	IDEN   	token_type_to_string
81	SPEC   	(
81	IDEN   	TokenType
81	IDEN   	type
81	SPEC   	)
82	SPEC   	{
83	REWD   	switch
83	SPEC   	(
83	IDEN   	type
83	SPEC   	)
84	SPEC   	{
85	REWD   	case
85	IDEN   	IDEN
85	SPEC   	:
86	REWD   	return
86	STR    	IDEN
86	SPEC   	;
87	REWD   	case
87	IDEN   	REWD
87	SPEC   	:
88	REWD   	return
88	STR    	REWD
88	SPEC   	;
89	REWD   	case
89	IDEN   	INTE
89	SPEC   	:
90	REWD   	return
90	STR    	INTE
90	SPEC   	;
91	REWD   	case
91	IDEN   	FLOT
91	SPEC   	:
92	REWD   	return
92	STR    	FLOT
92	SPEC   	;
93	REWD   	case
93	IDEN   	CHAR
93	SPEC   	:
94	REWD   	return
94	STR    	CHAR
94	SPEC   	;
95	REWD   	case
95	IDEN   	STR
95	SPEC   	:
96	REWD   	return
96	STR    	STR
96	SPEC   	;
97	REWD   	case
97	IDEN   	OPER
97	SPEC   	:
98	REWD   	return
98	STR    	OPER
98	SPEC   	;
99	REWD   	case
99	IDEN   	SPEC
99	SPEC   	:
100	REWD   	return
100	STR    	SPEC
100	SPEC   	;
101	REWD   	case
101	IDEN   	SC
101	SPEC   	:
102	REWD   	return
102	STR    	SC
102	SPEC   	;
103	REWD   	case
103	IDEN   	MC
103	SPEC   	:
104	REWD   	return
104	STR    	MC
104	SPEC   	;
105	REWD   	case
105	IDEN   	PREP
105	SPEC   	:
106	REWD   	return
106	STR    	PREP
106	SPEC   	;
107	REWD   	default
107	SPEC   	:
108	REWD   	return
108	STR    	UNKNOWN
108	SPEC   	;
109	SPEC   	}
110	SPEC   	}
112	IDEN   	void
113	IDEN   	report_token
113	SPEC   	(
113	IDEN   	FileReader
113	OPER   	*
113	IDEN   	fr
113	OPER   	,
113	IDEN   	FILE
113	OPER   	*
113	IDEN   	fout
113	OPER   	,
113	IDEN   	TokenType
113	IDEN   	type
113	OPER   	,
113	REWD   	const
113	REWD   	char
113	OPER   	*
113	IDEN   	token
113	SPEC   	)
114	SPEC   	{
115	IDEN   	fprintf
115	SPEC   	(
115	IDEN   	fout
115	OPER   	,
115	STR    	%d\t%-7s\t%s\n
115	OPER   	,
115	IDEN   	fr
115	OPER   	->
115	IDEN   	line_number
115	OPER   	,
115	IDEN   	token_type_to_string
115	SPEC   	(
115	IDEN   	type
115	SPEC   	)
115	OPER   	,
115	IDEN   	token
115	SPEC   	)
115	SPEC   	;
116	SPEC   	}
118	IDEN   	bool
119	IDEN   	scan_reserved
119	SPEC   	(
119	IDEN   	FileReader
119	OPER   	*
119	IDEN   	fr
119	OPER   	,
119	IDEN   	FILE
119	OPER   	*
119	IDEN   	fout
119	OPER   	,
119	REWD   	char
119	OPER   	*
119	IDEN   	buffer
119	SPEC   	)
120	SPEC   	{
121	REWD   	char
121	OPER   	*
121	IDEN   	ch
121	OPER   	=
121	IDEN   	bsearch
121	SPEC   	(
121	IDEN   	buffer
121	OPER   	,
121	IDEN   	rewds
121	OPER   	,
121	INTE   	25
121	OPER   	,
121	IDEN   	REWD_MAX_LEN
121	OPER   	,
121	IDEN   	compare
121	SPEC   	)
121	SPEC   	;
122	REWD   	if
122	SPEC   	(
122	IDEN   	ch
122	OPER   	!=
122	IDEN   	NULL
122	SPEC   	)
123	SPEC   	{
124	IDEN   	report_token
124	SPEC   	(
124	IDEN   	fr
124	OPER   	,
124	IDEN   	fout
124	OPER   	,
124	IDEN   	REWD
124	OPER   	,
124	IDEN   	buffer
124	SPEC   	)
124	SPEC   	;
125	REWD   	return
125	IDEN   	true
125	SPEC   	;
126	SPEC   	}
127	REWD   	else
128	SPEC   	{
129	REWD   	return
129	IDEN   	false
129	SPEC   	;
130	SPEC   	}
131	SPEC   	}
133	IDEN   	void
134	IDEN   	scan_identifier
134	SPEC   	(
134	IDEN   	FileReader
134	OPER   	*
134	IDEN   	fr
134	OPER   	,
134	IDEN   	FILE
134	OPER   	*
134	IDEN   	fout
134	SPEC   	)
135	SPEC   	{
136	REWD   	char
136	IDEN   	c
136	OPER   	=
136	IDEN   	fgetc
136	SPEC   	(
136	IDEN   	fr
136	OPER   	->
136	IDEN   	fin
136	SPEC   	)
136	SPEC   	;
137	REWD   	char
137	IDEN   	buffer
137	OPER   	[
137	INTE   	256
137	OPER   	]
137	SPEC   	;
138	REWD   	int
138	IDEN   	index
138	OPER   	=
138	INTE   	0
138	SPEC   	;
139	IDEN   	buffer
139	OPER   	[
139	IDEN   	index
139	OPER   	++
139	OPER   	]
139	OPER   	=
139	IDEN   	c
139	SPEC   	;
141	REWD   	while
141	SPEC   	(
141	SPEC   	(
141	IDEN   	c
141	OPER   	=
141	IDEN   	fgetc
141	SPEC   	(
141	IDEN   	fr
141	OPER   	->
141	IDEN   	fin
141	SPEC   	)
141	SPEC   	)
141	OPER   	!=
141	IDEN   	EOF
142	OPER   	&&
142	SPEC   	(
142	IDEN   	isalpha
142	SPEC   	(
142	IDEN   	c
142	SPEC   	)
142	OPER   	||
142	IDEN   	isdigit
142	SPEC   	(
142	IDEN   	c
142	SPEC   	)
142	OPER   	||
142	IDEN   	c
142	OPER   	==
142	CHAR   	_
142	SPEC   	)
142	SPEC   	)
143	SPEC   	{
144	IDEN   	buffer
144	OPER   	[
144	IDEN   	index
144	OPER   	++
144	OPER   	]
144	OPER   	=
144	IDEN   	c
144	SPEC   	;
145	SPEC   	}
147	IDEN   	buffer
147	OPER   	[
147	IDEN   	index
147	OPER   	]
147	OPER   	=
147	CHAR   	\\0
147	SPEC   	;
149	IDEN   	fseek
149	SPEC   	(
149	IDEN   	fr
149	OPER   	->
149	IDEN   	fin
149	OPER   	,
149	OPER   	,
149	IDEN   	SEEK_CUR
149	SPEC   	)
149	SPEC   	;
150	REWD   	if
150	SPEC   	(
150	OPER   	!
150	IDEN   	scan_reserved
